url,price,area,rooms,location,private
https://www.otodom.pl/pl/oferta/kawalerka-26-03-mkw-w-global-apartments-katowice-ID4smAW,365000.0,26.03,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-104m2-taras-bezposrednio-ID4rrQb,,104.78,FOUR,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/daszynskiego-park-b24-ID4eNen,498537.0,54.66,THREE,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/paderewskiego-29-mieszkanie-3-pok-b-m10-ID4rFyc,770770.0,59.29,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/medykow-32-mieszkanie-2-pok-14-ID4nj1J,538780.0,48.98,TWO,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-z-duzym-ogrodkiem-ID4sPOA,573850.0,49.91,THREE,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-2-pok-2-b17-ID4lBxL,611556.0,49.72,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-francuska-park-ul-szybowcowa-ID4sEta,547944.0,53.72,TWO,Osiedle Paderewskiego-Muchowiec,True
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-117m2-2-tarasy-ID4o8Vg,,117.69,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/mieszkanie-54-m-katowice-ID4taro,399000.0,54.0,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/trzy-pokoje-60-70m2-katowice-kostuchna-ID4sUp0,470000.0,60.7,THREE,Kostuchna,True
https://www.otodom.pl/pl/oferta/wykonczone-pod-klucz-bez-prowizji-ligota-ID4r3F6,636000.0,48.0,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-110m2-2-loggie-ID4pFuS,1157406.0,110.73,FOUR,Osiedle Paderewskiego-Muchowiec,False
